Address 1,Address 2,Postal Code,City,State,Country,Contact Name,Contact Phone,Contact Company,Contact Email,Latitude,Longitude
"3GXR+8Q Pozorrubio, Pangasinan, Philippines",#P00-01,,,Ilocos Region,Philippines,Yojee QA 1 ,6520210764,QA Corp 001,qa1@mail.com,1.2833754,103.8271508
"Binalonan, Binalonan, Pangasinan, Philippines",#P00-02,,,Ilocos Region,Philippines,Yojee QA 2 ,6520210763,QA Corp 002,qa2@mail.com,1.2777689,103.8483915
"4G9F+VJ Pozorrubio, Pangasinan, Philippines",#P00-03,,,Ilocos Region,Philippines,Yojee QA 3 ,6520210762,QA Corp 003,qa3@mail.com,1.279081,103.843997
"3C8R+HVC, San Jacinto, Pangasinan, Philippines",#P00-04,,,Ilocos Region,Philippines,Yojee QA 4 ,6520210761,QA Corp 004,qa4@mail.com,1.373055,104.008023
"213 San Carlos - Urbiztondo Rd, San Carlos City, Pangasinan, Philippines",#P00-05,,,Ilocos Region,Philippines,Yojee QA 5 ,6520210760,QA Corp 005,qa5@mail.com,1.283449,103.858945
"R8M3+74 Mangatarem, Pangasinan, Philippines",#P00-06,,,Ilocos Region,Philippines,Yojee QA 6 ,6520210759,QA Corp 006,qa6@mail.com,1.364276,103.831101
"VX3Q+JHG, Alitagtag, Batangas, Philippines",#P00-07,,,Calabarzon,Philippines,Yojee QA 7 ,6520210758,QA Corp 007,qa7@mail.com,1.314049,103.98869
"QXF6+9X2, Bauan, Batangas, Philippines",#P00-08,,,Calabarzon,Philippines,Yojee QA 8 ,6520210757,QA Corp 008,qa8@mail.com,1.340709,103.754396
"358 National Road, Batangas, Philippines",#P00-09,,,Calabarzon,Philippines,Yojee QA 9 ,6520210756,QA Corp 009,qa9@mail.com,1.313723,103.928344
"X2FH+6X Makilala, Cotabato, Philippines",#P00-10,,,Region XII,Philippines,Yojee QA 10 ,6520210755,QA Corp 010,qa10@mail.com,1.324972,103.746386
"G88Q+QG Bula, Camarines Sur, Philippines",#P00-11,,,Bicol,Philippines,Yojee QA 11 ,6520210754,QA Corp 011,qa11@mail.com,1.30279,103.86538
"XWHR+96 Basud, Camarines Norte, Philippines",#P00-12,,,Bicol,Philippines,Yojee QA 12 ,6520210753,QA Corp 012,qa12@mail.com,1.294291,103.855251
"34MJ+49 Tanauan, Batangas, Philippines",#P00-13,,,Calabarzon,Philippines,Yojee QA 13 ,6520210752,QA Corp 013,qa13@mail.com,1.336356,103.885911
"241 Pan-Philippine Hwy, Santo Tomas, Batangas, Philippines",#P00-14,,,Calabarzon,Philippines,Yojee QA 14 ,6520210751,QA Corp 014,qa14@mail.com,1.303784,103.854608
"243 Banawe St, A. Bonifacio, Quezon City, Metro Manila, Philippines",#P00-15,,,Metro Manila,Philippines,Yojee QA 15 ,6520210750,QA Corp 015,qa15@mail.com,1.30376,103.854738
"415 drc, Quirino Hwy, Novaliches, Quezon City, Metro Manila, Philippines",#P00-16,,,Metro Manila,Philippines,Yojee QA 16 ,6520210749,QA Corp 016,qa16@mail.com,1.30376,103.854738
"107 Zuzuarregui St, Matandang Balara, Quezon City, 1119 Metro Manila, Philippines",#P00-17,1119,,Metro Manila,Philippines,Yojee QA 17 ,6520210748,QA Corp 017,qa17@mail.com,1.284565,103.845394
"Loyola Memorial Chapels, 25 Commonwealth Ave, Matandang Balara, Quezon City, 1119 Metro Manila, Philippines",#P00-18,1119,,Metro Manila,Philippines,Yojee QA 18 ,6520210747,QA Corp 018,qa18@mail.com,1.309355,103.862162
"45 Insurance, Project 8, Quezon City, Metro Manila, Philippines",#P00-19,,,Metro Manila,Philippines,Yojee QA 19 ,6520210746,QA Corp 019,qa19@mail.com,1.307902,103.862717
"340 Katipunan Ave, Diliman, Quezon City, 1101 Metro Manila, Philippines",#P00-20,1101,,Metro Manila,Philippines,Yojee QA 20 ,6520210745,QA Corp 020,qa20@mail.com,1.308185,103.862693
"109 Marikina-Infanta Hwy, Pasig, 1600 Metro Manila, Philippines",#P00-21,1600,,Metro Manila,Philippines,Yojee QA 21 ,6520210744,QA Corp 021,qa21@mail.com,1.308525,103.862326
"100 Marlo Dr, Sto. Nino, Cainta, 1900 Rizal, Philippines",#P00-22,1900,,Calabarzon,Philippines,Yojee QA 22 ,6520210743,QA Corp 022,qa22@mail.com,1.345391,103.882275
"7375 Bakawan, Makati, Metro Manila, Philippines",#P00-23,1203,,Kalakhang Maynila,Philippines,Yojee QA 23 ,6520210742,QA Corp 023,qa23@mail.com,1.331395,103.705291
"Private, Poinsettia, Tahanan Village, Parañaque, Metro Manila, Philippines",#P00-24,1720,,Metro Manila,Philippines,Yojee QA 24 ,6520210741,QA Corp 024,qa24@mail.com,1.329754,103.70403
"100 Perea, Legazpi Village, Makati, Metro Manila, Philippines",#P00-25,1229,,Kalakhang Maynila,Philippines,Yojee QA 25 ,6520210740,QA Corp 025,qa25@mail.com,1.3312,103.705101
