Item Details,,,,,,,,Pickup Details,,,,,,,,,,Dropoff Details,,,,,,,,,,Extra,,
Description,Payload Type,Weight,Length,Width,Height,Quantity,Service Type,Address Line 1 *,Address Line 2,Country,Zipcode,From *,To *,Contact Name,Contact Phone,Contact Email,Contact Company,Address Line 1 *,Address Line 2,Country,Zipcode,From *,To *,Contact Name,Contact Phone,Contact Email,Contact Company,External Item ID 1,External Item ID 2,External Item ID 3
1 package,Package,5,50,40,40,1,nextday,"2 Pasir Panjang Road, Singapore",#01-08,Singapore,118518,27/10/2021 00:00,27/10/2021 00:05,Yojee QA 64 ,6520210727,qa64@mail.com,QA Corp 064,"25 International Business Park Road, German Centre, Singapore",#01-09,Singapore,609916,27/10/2021 00:06,27/10/2021 00:11,Yojee QA 92 ,6520210755,qa92@mail.com,QA Corp 092,YOJ--027102021_001200,,
1 package,Document,5,50,40,40,1,nextday,"10 Coleman Street, Singapore",#01-15,Singapore,179809,27/10/2021 00:12,27/10/2021 00:17,Yojee QA 71 ,6520210734,qa71@mail.com,QA Corp 071,"50 Tanah Merah Ferry Road, Singapore 498833, Singapore",#01-12,Singapore,498833,27/10/2021 00:18,27/10/2021 00:23,Yojee QA 95 ,6520210758,qa95@mail.com,QA Corp 095,YOJ--127102021_002400,,
1 package,Package,5,50,40,40,1,nextday,"24 Peck Seah Street, Singapore",#01-01,Singapore,79314,27/10/2021 00:24,27/10/2021 00:29,Yojee QA 55 ,6520210718,qa55@mail.com,QA Corp 055,"9010 Tampines Street 93, Singapore",#01-10,Singapore,528844,27/10/2021 00:30,27/10/2021 00:35,Yojee QA 12 ,6520210727,qa12@mail.com,QA Corp 012,YOJ--227102021_003600,,
1 package,Package,5,50,40,40,1,nextday,"76 Playfair Road, LHK2 Building, Singapore",#01-06,Singapore,367996,27/10/2021 00:36,27/10/2021 00:41,Yojee QA 89 ,6520210752,qa89@mail.com,QA Corp 089,"80 Marine Parade Road, Robert Piano, Singapore",#01-21,Singapore,449269,27/10/2021 00:42,27/10/2021 00:47,Yojee QA 50 ,6520210713,qa50@mail.com,QA Corp 050,YOJ--327102021_004800,,
1 package,Document,5,50,40,40,1,nextday,"24 Peck Seah Street, Singapore",#01-01,Singapore,79314,27/10/2021 00:48,27/10/2021 00:53,Yojee QA 55 ,6520210718,qa55@mail.com,QA Corp 055,"9 Maxwell Road, Singapore",#01-12,Singapore,69112,27/10/2021 00:54,27/10/2021 00:59,Yojee QA 68 ,6520210731,qa68@mail.com,QA Corp 068,YOJ--427102021_010000,,
1 package,Document,5,50,40,40,1,nextday,"65 Airport Boulevard, KrisFlyer Gold Lounge - Terminal 3, Changi, Singapore",#01-14,Singapore,819663,27/10/2021 01:00,27/10/2021 01:05,Yojee QA 16 ,6520210723,qa16@mail.com,QA Corp 016,"21 Club St, Singapore",#01-01,Singapore,69410,27/10/2021 01:06,27/10/2021 01:11,Yojee QA 3 ,6520210736,qa3@mail.com,QA Corp 003,YOJ--527102021_011200,,
1 package,Package,5,50,40,40,1,nextday,"101 Boon Keng Road, Singapore",#01-06,Singapore,339773,27/10/2021 01:12,27/10/2021 01:17,Yojee QA 35 ,6520210704,qa35@mail.com,QA Corp 035,"15 Beach Road, Singapore",#01-04,Singapore,190015,27/10/2021 01:18,27/10/2021 01:23,Yojee QA 60 ,6520210723,qa60@mail.com,QA Corp 060,YOJ--627102021_012400,,
1 package,Package,5,50,40,40,1,nextday,"3 Sungei Kadut Drive, Singapore",#01-18,Singapore,729556,27/10/2021 01:24,27/10/2021 01:29,Yojee QA 74 ,6520210737,qa74@mail.com,QA Corp 074,"21a Duxton Hill, Singapore",#01-03,Singapore,89604,27/10/2021 01:30,27/10/2021 01:35,Yojee QA 5 ,6520210734,qa5@mail.com,QA Corp 005,YOJ--727102021_013600,,
1 package,Package,5,50,40,40,1,nextday,"50 Tanah Merah Ferry Road, Singapore 498833, Singapore",#01-12,Singapore,498833,27/10/2021 01:36,27/10/2021 01:41,Yojee QA 95 ,6520210758,qa95@mail.com,QA Corp 095,"10 Beach Road, Singapore",#01-03,Singapore,189720,27/10/2021 01:42,27/10/2021 01:47,Yojee QA 59 ,6520210722,qa59@mail.com,QA Corp 059,YOJ--827102021_014800,,
1 package,Package,5,50,40,40,1,nextday,"Dakota Crescent, Blk 58 Dakota Crescent, Marine Parade, Singapore",#01-24,Singapore,390058,27/10/2021 01:48,27/10/2021 01:53,Yojee QA 53 ,6520210716,qa53@mail.com,QA Corp 053,"Tampines Street 93, Nexion Communications Pte Ltd, Singapore",#01-11,Singapore,528844,27/10/2021 01:54,27/10/2021 01:59,Yojee QA 13 ,6520210726,qa13@mail.com,QA Corp 013,YOJ--927102021_020000,,
